id,ride_id,timestamp,rpm,speed_kph,torque_nm,voltage_out,power_band,temp_c,humidity_pct,fluid_loss_l,sweat_rate_l_hr,skin_temp_c,battery_voltage_v,motor_current_a,motor_power_w,ml_sweat_probability,sweat_reduction_active
7688,RIDE_20260330_131830,2026-03-30 13:18:30.406756+00,0.0,0.0,0.0,1.0,LOW,17.35,37.75,,,,,,,0,false
7689,RIDE_20260330_131830,2026-03-30 13:18:31.406058+00,0.0,0.0,0.0,1.0,LOW,17.35,37.75,,,,,,,0,false
7690,RIDE_20260330_131830,2026-03-30 13:18:32.407524+00,0.0,0.0,0.0,1.0,LOW,17.35,37.75,,,,,,,0,false
7691,RIDE_20260330_131830,2026-03-30 13:18:33.409269+00,0.0,0.0,0.0,1.0,LOW,17.35,37.75,,,,,,,0,false
7692,RIDE_20260330_131830,2026-03-30 13:18:34.410994+00,0.0,0.0,0.0,1.0,LOW,17.35,37.75,,,,,,,0,false
7693,RIDE_20260330_131830,2026-03-30 13:18:35.4135+00,0.0,0.0,0.0,1.0,LOW,17.35,37.75,,,,,,,0,false
7694,RIDE_20260330_131830,2026-03-30 13:18:36.416047+00,16.0,0.0,3.8,1.0,LOW,17.35,37.75,,,,,,,0,false
7695,RIDE_20260330_131830,2026-03-30 13:18:37.417625+00,14.3,0.0,76.3,2.5,LOW,17.35,37.75,,,,,,,0,false
7696,RIDE_20260330_131830,2026-03-30 13:18:38.422207+00,31.5,4.2,71.4,2.5,LOW,17.35,37.75,,,,,,,0,false
7697,RIDE_20260330_131830,2026-03-30 13:18:39.468606+00,40.9,10.1,97.1,2.5,LOW,17.16,37.88,,,,,,,0,false
7698,RIDE_20260330_131830,2026-03-30 13:18:40.469823+00,48.5,12.3,76.4,2.5,LOW,17.16,37.88,,,,,,,0,false
7699,RIDE_20260330_131830,2026-03-30 13:18:41.473579+00,25.2,13.8,63.3,1.0,LOW,17.16,37.88,,,,,,,0,false
7700,RIDE_20260330_131830,2026-03-30 13:18:43.477952+00,42.2,12.5,40.3,1.0,LOW,17.16,37.88,,,,,,,0,false
7701,RIDE_20260330_131830,2026-03-30 13:18:44.47979+00,30.1,10.4,41.1,1.0,LOW,17.16,37.88,,,,,,,0,false
7702,RIDE_20260330_131830,2026-03-30 13:18:45.481876+00,29.8,7.7,31.9,1.99,LOW,17.16,37.88,,,,,,,0,false
7703,RIDE_20260330_131830,2026-03-30 13:18:46.483849+00,47.1,8.4,71.4,2.5,LOW,17.16,37.88,,,,,,,0,false
7704,RIDE_20260330_131830,2026-03-30 13:18:47.486359+00,53.5,13.1,67.8,2.5,LOW,17.16,37.88,,,,,,,0,false
7705,RIDE_20260330_131830,2026-03-30 13:18:48.48761+00,48.6,15.4,57.9,2.46,LOW,17.16,37.88,,,,,,,0,false
7706,RIDE_20260330_131830,2026-03-30 13:18:49.537142+00,56.3,16.6,58.0,2.46,LOW,17.67,38.07,,,,,,,0,false
7707,RIDE_20260330_131830,2026-03-30 13:18:50.539579+00,59.5,19.1,48.0,2.28,LOW,17.67,38.07,,,,,,,0,false
7708,RIDE_20260330_131830,2026-03-30 13:18:51.542752+00,29.1,19.6,38.9,2.12,LOW,17.67,38.07,,,,,,,0,false
7709,RIDE_20260330_131830,2026-03-30 13:18:52.544953+00,0.0,19.7,31.2,1.0,LOW,17.67,38.07,,,,,,,0,false
7710,RIDE_20260330_131830,2026-03-30 13:18:53.546537+00,4.2,19.9,25.9,1.0,LOW,17.67,38.07,,,,,,,0,false
7711,RIDE_20260330_131830,2026-03-30 13:18:54.548938+00,4.2,19.5,21.5,1.0,LOW,17.67,38.07,,,,,,,0,false
7712,RIDE_20260330_131830,2026-03-30 13:18:55.550245+00,4.9,14.6,17.7,1.0,LOW,17.67,38.07,0.0,,27.0,,,,0,false
7713,RIDE_20260330_131830,2026-03-30 13:18:56.552026+00,34.5,11.1,38.0,2.1,LOW,17.67,38.07,0.0,,27.0,,,,0,false
7714,RIDE_20260330_131830,2026-03-30 13:18:57.554838+00,35.1,11.5,30.7,1.97,LOW,17.67,38.07,0.0,,27.0,,,,0,false
7715,RIDE_20260330_131830,2026-03-30 13:18:58.556641+00,41.3,11.4,80.1,2.5,LOW,17.67,38.07,0.0,,27.0,,,,0,false
7716,RIDE_20260330_131830,2026-03-30 13:18:59.605142+00,46.8,14.2,104.8,2.5,LOW,18.68,37.38,0.0,,27.0,,,,0,false
7717,RIDE_20260330_131830,2026-03-30 13:19:00.606845+00,51.4,16.7,89.3,2.5,LOW,18.68,37.38,0.0,,27.0,,,,0,false
7718,RIDE_20260330_131830,2026-03-30 13:19:01.6088+00,51.4,16.8,78.7,2.5,LOW,18.68,37.38,0.0,,27.0,,,,0,false
7719,RIDE_20260330_131830,2026-03-30 13:19:02.611357+00,53.7,17.8,77.9,2.5,LOW,18.68,37.38,0.0,,27.0,,,,0,false
7720,RIDE_20260330_131830,2026-03-30 13:19:03.615559+00,58.0,18.3,66.2,2.5,LOW,18.68,37.38,0.0,,27.0,,,,0,false
7721,RIDE_20260330_131830,2026-03-30 13:19:04.617135+00,60.9,19.7,58.6,2.48,LOW,18.68,37.38,0.0,,27.0,,,,0,false
7722,RIDE_20260330_131830,2026-03-30 13:19:05.618471+00,59.7,20.6,52.3,2.36,LOW,18.68,37.38,0.0,,27.0,,,,0,false
7723,RIDE_20260330_131830,2026-03-30 13:19:06.629072+00,60.1,19.8,42.6,2.18,LOW,18.68,37.38,0.0,,27.0,,,,0,false
7724,RIDE_20260330_131830,2026-03-30 13:19:07.631504+00,58.5,20.3,49.4,2.31,LOW,18.68,37.38,0.0,,27.0,,,,0,false
7725,RIDE_20260330_131830,2026-03-30 13:19:08.632831+00,50.7,18.1,41.3,2.16,LOW,18.68,37.38,0.0,,27.0,,,,0,false
7726,RIDE_20260330_131830,2026-03-30 13:19:09.681983+00,52.1,14.5,42.9,2.19,LOW,17.82,36.75,0.0,,27.0,,,,0,false
7727,RIDE_20260330_131830,2026-03-30 13:19:10.684546+00,59.7,15.7,65.4,2.5,LOW,17.82,36.75,0.0,,27.0,,,,0,false
7728,RIDE_20260330_131830,2026-03-30 13:19:11.685607+00,67.0,17.2,92.3,2.5,LOW,17.82,36.75,0.0,,27.0,,,,0,false
7729,RIDE_20260330_131830,2026-03-30 13:19:12.688171+00,70.9,19.1,82.4,2.5,LOW,17.82,36.75,0.0,,27.0,,,,0,false
7730,RIDE_20260330_131830,2026-03-30 13:19:13.689398+00,65.5,19.5,65.4,2.5,LOW,17.82,36.75,0.0,,27.0,,,,0,false
7731,RIDE_20260330_131830,2026-03-30 13:19:14.691703+00,65.4,20.3,52.2,2.36,LOW,17.82,36.75,0.0,,27.0,,,,0,false
7732,RIDE_20260330_131830,2026-03-30 13:19:15.693667+00,70.4,20.4,41.6,2.17,LOW,17.82,36.75,0.0,,27.0,,,,0,false
7733,RIDE_20260330_131830,2026-03-30 13:19:16.695109+00,66.4,20.3,38.9,2.12,LOW,17.82,36.75,0.0,,27.0,,,,0,false
7734,RIDE_20260330_131830,2026-03-30 13:19:17.69753+00,69.3,21.0,45.1,2.23,LOW,17.82,36.75,0.0,,27.0,,,,0,false
7735,RIDE_20260330_131830,2026-03-30 13:19:18.699628+00,73.9,21.4,44.9,2.23,LOW,17.82,36.75,0.0,,27.0,,,,0,false
7736,RIDE_20260330_131830,2026-03-30 13:19:19.750815+00,71.7,21.3,37.9,2.1,LOW,17.68,36.74,0.0,,27.0,,,,0,false
7737,RIDE_20260330_131830,2026-03-30 13:19:20.75481+00,73.4,20.9,38.2,2.1,LOW,17.68,36.74,0.0,,27.0,,,,0,false
7738,RIDE_20260330_131830,2026-03-30 13:19:21.75653+00,69.6,21.7,37.3,2.09,LOW,17.68,36.74,0.0,,27.0,,,,0,false
7739,RIDE_20260330_131830,2026-03-30 13:19:22.758991+00,35.6,20.9,39.2,2.12,LOW,17.68,36.74,0.0,,27.0,,,,0,false
7740,RIDE_20260330_131830,2026-03-30 13:19:23.760503+00,9.1,21.6,31.4,1.0,LOW,17.68,36.74,0.0,,27.0,,,,0,false
7741,RIDE_20260330_131830,2026-03-30 13:19:24.763316+00,9.1,21.8,25.8,1.0,LOW,17.68,36.74,0.0,,27.0,,,,0,false
7742,RIDE_20260330_131830,2026-03-30 13:19:25.764849+00,0.0,21.6,21.6,1.0,LOW,17.68,36.74,0.0,,27.0,,,,0,false
7743,RIDE_20260330_131830,2026-03-30 13:19:26.767152+00,0.0,21.1,18.2,1.0,LOW,17.68,36.74,0.0,,27.0,,,,0,false
7744,RIDE_20260330_131830,2026-03-30 13:19:27.769168+00,69.9,21.1,35.2,2.05,LOW,17.68,36.74,0.0,,27.0,,,,0,false
7745,RIDE_20260330_131830,2026-03-30 13:19:28.771455+00,65.5,21.5,43.2,2.19,LOW,17.68,36.74,0.0,,27.0,,,,0,false
7746,RIDE_20260330_131830,2026-03-30 13:19:29.820149+00,25.0,22.1,34.7,1.0,LOW,17.35,36.57,0.0,,27.0,,,,0,false
7747,RIDE_20260330_131830,2026-03-30 13:19:30.821726+00,0.0,20.5,28.2,1.0,LOW,17.35,36.57,0.0,,27.0,,,,0,false
7748,RIDE_20260330_131830,2026-03-30 13:19:31.823771+00,0.0,19.2,23.4,1.0,LOW,17.35,36.57,0.0,,27.0,,,,0,false
7749,RIDE_20260330_131830,2026-03-30 13:19:32.8256+00,0.0,16.9,19.4,1.0,LOW,17.35,36.57,0.0,,27.0,,,,0,false
7750,RIDE_20260330_131830,2026-03-30 13:19:33.828843+00,0.0,14.3,15.8,1.0,LOW,17.35,36.57,0.0,,27.0,,,,0,false
7751,RIDE_20260330_131830,2026-03-30 13:19:34.82985+00,0.0,7.3,15.5,1.0,LOW,17.35,36.57,0.0,,27.0,,,,0,false
7752,RIDE_20260330_131830,2026-03-30 13:19:35.831+00,17.3,4.8,42.6,1.0,LOW,17.35,36.57,0.0,,27.0,,,,0,false
7753,RIDE_20260330_131830,2026-03-30 13:19:36.8332+00,24.6,7.2,33.5,2.02,LOW,17.35,36.57,0.0,,27.0,,,,0,false
7754,RIDE_20260330_131830,2026-03-30 13:19:37.835117+00,24.1,6.9,27.0,1.0,LOW,17.35,36.57,0.0,,27.0,,,,0,false
7755,RIDE_20260330_131830,2026-03-30 13:19:38.837913+00,17.7,6.9,26.4,1.89,LOW,17.35,36.57,0.0,,27.0,,,,0,false
7756,RIDE_20260330_131830,2026-03-30 13:19:39.888475+00,20.5,4.9,21.0,1.79,LOW,16.96,36.71,0.0,,27.0,,,,0,false
7757,RIDE_20260330_131830,2026-03-30 13:19:40.890375+00,24.0,5.9,77.7,2.5,LOW,16.96,36.71,0.0,,27.0,,,,0,false
7758,RIDE_20260330_131830,2026-03-30 13:19:41.894295+00,38.7,7.3,72.4,2.5,LOW,16.96,36.71,0.0,,27.0,,,,0,false
7759,RIDE_20260330_131830,2026-03-30 13:19:42.894932+00,53.3,13.3,83.0,2.5,LOW,16.96,36.71,0.0,,27.0,,,,0,false
7760,RIDE_20260330_131830,2026-03-30 13:19:43.896665+00,61.2,16.3,86.2,2.5,LOW,16.96,36.71,0.0,,27.0,,,,0,false
7761,RIDE_20260330_131830,2026-03-30 13:19:44.898475+00,57.5,16.9,79.8,2.5,LOW,16.96,36.71,0.0,,27.0,,,,0,false
7762,RIDE_20260330_131830,2026-03-30 13:19:45.900369+00,64.6,19.2,73.7,2.5,LOW,16.96,36.71,0.0,,27.0,,,,0,false
7763,RIDE_20260330_131830,2026-03-30 13:19:46.90209+00,61.4,19.2,65.9,2.5,LOW,16.96,36.71,0.0,,27.0,,,,0,false
7764,RIDE_20260330_131830,2026-03-30 13:19:47.904346+00,62.6,20.2,57.7,2.46,LOW,16.96,36.71,0.0,,27.0,,,,0,false
7765,RIDE_20260330_131830,2026-03-30 13:19:48.905526+00,66.0,21.5,64.0,2.5,LOW,16.96,36.71,0.0,,27.0,,,,0,false
7766,RIDE_20260330_131830,2026-03-30 13:19:49.954287+00,66.8,21.8,53.2,2.38,LOW,16.8,36.93,0.0,,27.0,,,,0,false
7767,RIDE_20260330_131830,2026-03-30 13:19:50.956206+00,66.7,21.8,42.5,2.18,LOW,16.8,36.93,0.0,,27.0,,,,0,false
7768,RIDE_20260330_131830,2026-03-30 13:19:51.958217+00,63.4,22.0,37.7,2.09,LOW,16.8,36.93,0.0,,27.0,,,,0,false
7769,RIDE_20260330_131830,2026-03-30 13:19:52.960438+00,65.5,21.9,40.8,2.15,LOW,16.8,36.93,0.0,,27.0,,,,0,false
7770,RIDE_20260330_131830,2026-03-30 13:19:53.961734+00,68.1,21.5,45.1,2.23,LOW,16.8,36.93,0.0,,27.0,,,,0,false
7771,RIDE_20260330_131830,2026-03-30 13:19:54.963773+00,65.6,21.4,49.5,2.31,LOW,16.8,36.93,0.0,,27.0,,,,0,false
7772,RIDE_20260330_131830,2026-03-30 13:19:55.965836+00,64.4,21.4,50.6,2.33,LOW,16.8,36.93,0.0,,27.0,,,,0,false
7773,RIDE_20260330_131830,2026-03-30 13:19:56.9681+00,59.9,20.6,41.0,2.15,LOW,16.8,36.93,0.0,,27.0,,,,0,false
7774,RIDE_20260330_131830,2026-03-30 13:19:57.969885+00,56.9,19.6,42.5,2.18,LOW,16.8,36.93,0.0,,27.0,,,,0,false
7775,RIDE_20260330_131830,2026-03-30 13:19:58.971595+00,56.2,19.2,52.2,2.36,LOW,16.8,36.93,0.0,,27.0,,,,0,false
7776,RIDE_20260330_131830,2026-03-30 13:20:00.019851+00,56.0,19.3,50.6,2.33,LOW,16.08,37.18,0.0,,27.0,,,,0,false
7777,RIDE_20260330_131830,2026-03-30 13:20:01.021775+00,58.2,17.8,58.8,2.48,LOW,16.08,37.18,0.0,,27.0,,,,0,false
7778,RIDE_20260330_131830,2026-03-30 13:20:02.023821+00,60.2,18.4,78.6,2.5,LOW,16.08,37.18,0.0,,27.0,,,,0,false
7779,RIDE_20260330_131830,2026-03-30 13:20:03.026111+00,61.0,18.5,79.1,2.5,LOW,16.08,37.18,0.0,,27.0,,,,0,false
7780,RIDE_20260330_131830,2026-03-30 13:20:04.028824+00,64.4,19.5,63.2,2.5,LOW,16.08,37.18,0.0,,27.0,,,,0,false
7781,RIDE_20260330_131830,2026-03-30 13:20:05.030742+00,64.2,19.2,50.4,2.32,LOW,16.08,37.18,0.0,,27.0,,,,0,false
7782,RIDE_20260330_131830,2026-03-30 13:20:06.034929+00,64.1,18.9,46.7,2.26,LOW,16.08,37.18,0.0,,27.0,,,,0,false
7783,RIDE_20260330_131830,2026-03-30 13:20:07.038358+00,63.3,18.4,38.2,2.1,LOW,16.08,37.18,0.0,,27.0,,,,0,false
7784,RIDE_20260330_131830,2026-03-30 13:20:08.040156+00,16.6,17.8,29.9,1.0,LOW,16.08,37.18,0.0,,27.0,,,,0,false
7785,RIDE_20260330_131830,2026-03-30 13:20:09.044049+00,0.0,15.4,24.2,1.0,LOW,16.08,37.18,0.0,,27.0,,,,0,false
7786,RIDE_20260330_131830,2026-03-30 13:20:10.091016+00,0.0,15.0,19.8,1.0,LOW,15.84,37.82,0.0,,26.0,,,,0,false
7787,RIDE_20260330_131830,2026-03-30 13:20:11.092252+00,0.0,15.2,30.5,1.0,LOW,15.84,37.82,0.0,,26.0,,,,0,false
7788,RIDE_20260330_131830,2026-03-30 13:20:12.093952+00,42.7,12.8,26.0,1.0,LOW,15.84,37.82,0.0,,26.0,,,,0,false
7789,RIDE_20260330_131830,2026-03-30 13:20:13.096033+00,37.4,12.2,28.4,1.92,LOW,15.84,37.82,0.0,,26.0,,,,0,false
7790,RIDE_20260330_131830,2026-03-30 13:20:14.098498+00,38.9,10.0,78.4,2.5,LOW,15.84,37.82,0.0,,26.0,,,,0,false
7791,RIDE_20260330_131830,2026-03-30 13:20:15.099777+00,44.8,11.9,97.3,2.5,LOW,15.84,37.82,0.0,,26.0,,,,0,false
7792,RIDE_20260330_131830,2026-03-30 13:20:16.101629+00,56.1,14.6,86.0,2.5,LOW,15.84,37.82,0.0,,26.0,,,,0,false
7793,RIDE_20260330_131830,2026-03-30 13:20:17.10359+00,60.2,17.7,79.9,2.5,LOW,15.84,37.82,0.0,,26.0,,,,0,false
7794,RIDE_20260330_131830,2026-03-30 13:20:18.106375+00,63.4,18.5,66.6,2.5,LOW,15.84,37.82,0.0,,26.0,,,,0,false
7795,RIDE_20260330_131830,2026-03-30 13:20:19.107931+00,64.4,18.8,53.6,2.38,LOW,15.84,37.82,0.0,,26.0,,,,0,false
7796,RIDE_20260330_131830,2026-03-30 13:20:20.157742+00,64.9,19.2,56.7,2.44,LOW,16.12,38.4,0.0,,26.0,,,,0,false
7797,RIDE_20260330_131830,2026-03-30 13:20:21.159615+00,69.5,20.3,70.5,2.5,LOW,16.12,38.4,0.0,,26.0,,,,0,false
7798,RIDE_20260330_131830,2026-03-30 13:20:22.162599+00,74.2,21.1,80.2,2.5,LOW,16.12,38.4,0.0,,26.0,,,,0,false
7799,RIDE_20260330_131830,2026-03-30 13:20:23.16397+00,74.0,22.2,73.6,2.5,LOW,16.12,38.4,0.0,,26.0,,,,0,false
7800,RIDE_20260330_131830,2026-03-30 13:20:24.16586+00,68.1,21.9,59.1,2.48,LOW,16.12,38.4,0.0,,26.0,,,,0,false
7801,RIDE_20260330_131830,2026-03-30 13:20:25.168147+00,64.9,22.2,60.8,2.5,LOW,16.12,38.4,0.0,,26.0,,,,0,false
7802,RIDE_20260330_131830,2026-03-30 13:20:26.169535+00,65.1,21.8,53.1,2.37,LOW,16.12,38.4,0.0,,26.0,,,,0,false
7803,RIDE_20260330_131830,2026-03-30 13:20:27.171351+00,64.6,21.4,46.9,2.26,LOW,16.12,38.4,0.0,,26.0,,,,0,false
7804,RIDE_20260330_131830,2026-03-30 13:20:28.173255+00,62.3,21.1,50.0,2.32,LOW,16.12,38.4,0.0,,26.0,,,,0,false
7805,RIDE_20260330_131830,2026-03-30 13:20:29.175271+00,60.9,21.1,51.9,2.35,LOW,16.12,38.4,0.0,,26.0,,,,0,false
7806,RIDE_20260330_131830,2026-03-30 13:20:30.22744+00,64.5,21.0,46.8,2.26,LOW,15.61,38.7,0.0,,26.0,,,,0,false
7807,RIDE_20260330_131830,2026-03-30 13:20:31.229672+00,62.7,20.7,44.6,2.22,LOW,15.61,38.7,0.0,,26.0,,,,0,false
7808,RIDE_20260330_131830,2026-03-30 13:20:32.231458+00,57.3,19.0,44.7,2.22,LOW,15.61,38.7,0.0,,26.0,,,,0,false
7809,RIDE_20260330_131830,2026-03-30 13:20:33.23497+00,67.0,18.5,58.8,2.48,LOW,15.61,38.7,0.0,,26.0,,,,0,false
