id,ride_id,sweat_perception_score,created_at
1,RIDE_20260327_113906,1,2026-03-27 11:39:42.687954+00
2,RIDE_20260327_120045,1,2026-03-27 12:05:45.909276+00
3,RIDE_20260327_123542,2,2026-03-27 12:44:25.242275+00
4,RIDE_20260327_123542,2,2026-03-27 12:44:26.622909+00
5,RIDE_20260327_192919,4,2026-03-27 19:48:19.912766+00
6,RIDE_20260327_200158,2,2026-03-27 20:03:43.902503+00
7,UNKNOWN,2,2026-03-27 20:19:53.460416+00
8,RIDE_20260328_132014,4,2026-03-28 13:33:53.693958+00
9,UNKNOWN,1,2026-03-28 14:54:55.550451+00
10,RIDE_20260330_131830,2,2026-03-30 12:51:27.302418+00
11,RIDE_20260330_155917,2,2026-03-30 15:27:34.207843+00
12,RIDE_20260331_151943,1,2026-03-31 15:40:47.584324+00
13,RIDE_20260407_071341,1,2026-04-07 06:54:11.940624+00
14,RIDE_20260407_100625,3,2026-04-07 09:45:14.684865+00
15,RIDE_20260407_151456,3,2026-04-07 14:49:49.655849+00
16,RIDE_20260407_192214,2,2026-04-07 18:45:08.461528+00
17,RIDE_20260408_081728,2,2026-04-08 07:43:05.896593+00
18,RIDE_20260408_174454,3,2026-04-08 17:20:53.024495+00
19,RIDE_20260409_172209,1,2026-04-09 16:30:03.243661+00
20,RIDE_20260416_083628,1,2026-04-16 07:51:04.420125+00
21,RIDE_20260416_102808,1,2026-04-16 09:44:36.42914+00
22,RIDE_20260416_130541,2,2026-04-16 12:40:52.727606+00
23,RIDE_20260416_175606,3,2026-04-16 17:38:16.237565+00
24,RIDE_20260417_091414,3,2026-04-17 08:47:47.779549+00
25,RIDE_20260417_143849,2,2026-04-17 14:11:46.634551+00
26,RIDE_20260417_191209,1,2026-04-17 18:37:21.595467+00
27,RIDE_20260421_125602,3,2026-04-21 12:32:04.278334+00
28,RIDE_20260502_123125,3,2026-05-02 12:12:04.022508+00
29,RIDE_20260505_084655,2,2026-05-05 08:18:46.520888+00
30,RIDE_20260505_140847,4,2026-05-05 13:59:48.664755+00
31,RIDE_20260507_094217,1,2026-05-07 08:57:44.528921+00
32,RIDE_20260507_105652,2,2026-05-07 10:22:11.897388+00
33,RIDE_20260508_142147,4,2026-05-08 14:06:39.536211+00
34,RIDE_20260512_132545,1,2026-05-12 12:42:40.705961+00
35,RIDE_20260512_193918,1,2026-05-12 18:57:19.487038+00
36,RIDE_20260517_092522,1,2026-05-17 08:28:32.909382+00
37,RIDE_20260517_093737,4,2026-05-17 10:01:07.976366+00
38,RIDE_20260518_095332,2,2026-05-18 09:12:13.297025+00
39,RIDE_20260522_082151,3,2026-05-22 07:37:54.93551+00
40,RIDE_20260522_092127,4,2026-05-22 08:51:30.947805+00
41,RIDE_20260522_132655,4,2026-05-22 13:03:16.909795+00
42,RIDE_20260522_161042,5,2026-05-22 15:58:58.246515+00
43,RIDE_20260524_093911,4,2026-05-24 09:13:36.345782+00
44,RIDE_20260524_115341,4,2026-05-24 11:22:36.78941+00
45,RIDE_20260526_152609,1,2026-05-26 14:27:16.82486+00
46,RIDE_20260526_153652,1,2026-05-26 14:37:34.622172+00
47,RIDE_20260526_154715,3,2026-05-26 15:06:15.377307+00
48,RIDE_20260527_101635,1,2026-05-27 09:19:20.395441+00
49,RIDE_20260527_102058,3,2026-05-27 09:38:20.381779+00
50,RIDE_20260527_165252,1,2026-05-27 15:53:11.050597+00
51,RIDE_20260528_080627,1,2026-05-28 07:09:54.7979+00
52,RIDE_20260528_083851,1,2026-05-28 07:41:20.327535+00
53,RIDE_20260528_090603,2,2026-05-28 08:42:18.523238+00
54,RIDE_20260528_165223,2,2026-05-28 16:24:42.724332+00
55,RIDE_20260529_113234,1,2026-05-29 10:35:15.519748+00
56,RIDE_20260529_113535,2,2026-05-29 10:58:52.513582+00
57,RIDE_20260529_193550,2,2026-05-29 19:04:36.803273+00
58,RIDE_20260530_095900,2,2026-05-30 09:24:21.764651+00
59,RIDE_20260601_121930,1,2026-06-01 11:34:21.725371+00
60,RIDE_20260601_132632,2,2026-06-01 12:53:00.152827+00
61,RIDE_20260602_110231,3,2026-06-02 10:02:42.872696+00
62,RIDE_20260602_110918,2,2026-06-02 10:09:36.356166+00
63,RIDE_20260602_111022,2,2026-06-02 10:10:41.511343+00
64,RIDE_20260602_111051,3,2026-06-02 10:13:03.08495+00
